"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jun-2021","EQ","342.65","346.50","339.60","342.80","342.30","341.55","343.24","360.75","97.30",22462297,"7,709,940,478.45",166772
"28-Jun-2021","EQ","340.80","345.00","337.55","339.65","343.00","342.80","341.00","360.75","97.30",17843975,"6,084,880,410.00",128540
"25-Jun-2021","EQ","335.90","342.80","335.90","334.65","339.10","339.65","340.03","360.75","97.30",22426352,"7,625,742,314.95",162950
"24-Jun-2021","EQ","335.00","337.40","333.35","335.25","335.30","334.65","335.51","360.75","97.30",15580223,"5,227,377,961.40",119970
"23-Jun-2021","EQ","341.00","343.25","334.30","337.90","335.50","335.25","338.98","360.75","97.30",25741628,"8,725,921,331.25",163850
"22-Jun-2021","EQ","337.10","344.30","336.15","334.30","337.25","337.90","341.06","360.75","97.30",26708459,"9,109,087,248.90",196463
"21-Jun-2021","EQ","330.90","335.80","326.20","337.40","334.00","334.30","331.38","360.75","97.30",29123887,"9,651,069,904.95",220372
"18-Jun-2021","EQ","345.65","346.90","329.00","345.65","338.70","337.40","337.30","360.75","91.80",49440514,"16,676,211,279.70",335484
"17-Jun-2021","EQ","348.40","352.90","342.25","349.35","344.90","345.65","347.75","360.75","91.80",29236974,"10,167,301,410.35",215768
"16-Jun-2021","EQ","350.10","356.00","348.10","352.70","348.35","349.35","351.50","360.75","91.80",27550588,"9,684,074,925.80",185607
"15-Jun-2021","EQ","355.75","360.75","351.50","355.95","352.00","352.70","356.11","360.75","91.80",35526159,"12,651,139,220.10",244448
"14-Jun-2021","EQ","350.05","357.90","341.10","350.75","355.85","355.95","350.96","358.90","91.80",38482142,"13,505,685,670.35",258674
"11-Jun-2021","EQ","346.00","352.90","344.35","344.75","350.00","350.75","349.49","358.90","91.80",36441967,"12,736,254,497.20",238009
"10-Jun-2021","EQ","345.20","347.85","342.40","343.35","345.05","344.75","345.05","358.90","91.80",24351860,"8,402,611,475.95",173167
"09-Jun-2021","EQ","356.20","358.90","339.75","352.75","343.55","343.35","350.63","358.90","91.80",59334814,"20,804,788,075.45",364388
"08-Jun-2021","EQ","346.25","356.65","337.50","345.50","356.50","352.75","346.15","357.00","91.80",44104954,"15,267,039,550.15",280211
"07-Jun-2021","EQ","339.75","351.00","339.75","334.95","344.35","345.50","346.40","357.00","91.80",64986814,"22,511,445,127.60",454768
"04-Jun-2021","EQ","325.15","336.90","324.25","325.65","336.80","334.95","330.33","357.00","88.00",41278749,"13,635,697,415.40",257144
"03-Jun-2021","EQ","325.30","327.70","323.65","323.00","324.95","325.65","325.92","357.00","88.00",21408371,"6,977,408,798.45",151971
"02-Jun-2021","EQ","315.95","324.40","315.60","318.10","322.90","323.00","320.96","357.00","88.00",26323777,"8,448,892,334.15",157758
"01-Jun-2021","EQ","319.20","325.70","317.30","318.75","318.30","318.10","320.48","357.00","88.00",32595728,"10,446,167,765.05",227553
"31-May-2021","EQ","318.70","319.75","312.10","318.75","318.90","318.75","316.65","357.00","88.00",30917309,"9,790,007,682.00",195958
"28-May-2021","EQ","322.65","324.50","316.50","318.60","319.80","318.75","320.40","357.00","82.60",26618815,"8,528,640,138.35",189082
"27-May-2021","EQ","317.05","323.45","316.55","315.50","319.00","318.60","320.59","357.00","82.60",49484106,"15,864,225,963.10",310012
"26-May-2021","EQ","316.10","320.00","314.80","315.25","315.15","315.50","317.63","357.00","82.60",28639717,"9,096,923,036.75",182798
"25-May-2021","EQ","315.55","319.00","313.85","311.85","314.90","315.25","316.69","357.00","82.60",37382263,"11,838,548,199.00",235654
"24-May-2021","EQ","314.75","315.80","310.20","313.10","311.80","311.85","313.24","357.00","82.60",31963997,"10,012,299,795.85",203153
"21-May-2021","EQ","312.00","315.70","309.50","307.70","312.40","313.10","312.81","357.00","79.60",40358753,"12,624,718,438.75",235409
"20-May-2021","EQ","316.00","316.60","306.10","314.45","308.00","307.70","310.47","357.00","79.60",54043899,"16,778,950,024.40",332716
"19-May-2021","EQ","313.00","322.95","312.10","332.45","314.10","314.45","316.24","357.00","79.60",119407026,"37,761,459,386.20",682512
"18-May-2021","EQ","325.95","336.65","324.00","321.10","332.00","332.45","331.11","357.00","79.60",86153088,"28,526,171,912.65",507559
"17-May-2021","EQ","315.40","323.85","311.40","312.25","321.75","321.10","317.96","357.00","79.60",51162423,"16,267,582,786.40",322456
"14-May-2021","EQ","329.35","329.50","310.00","326.00","312.60","312.25","318.19","357.00","79.60",81305325,"25,870,430,404.85",446741
"12-May-2021","EQ","318.25","334.75","316.25","315.55","325.55","326.00","326.37","357.00","79.60",111584920,"36,417,910,308.95",627410
"11-May-2021","EQ","309.55","320.75","308.10","314.85","314.45","315.55","316.17","357.00","79.60",58472304,"18,487,036,052.35",341891
"10-May-2021","EQ","304.50","315.70","304.00","302.75","314.35","314.85","310.52","357.00","79.60",53260388,"16,538,427,981.10",304985
"07-May-2021","EQ","303.00","305.95","300.50","301.25","301.45","302.75","303.34","357.00","79.60",41591323,"12,616,475,889.85",232673
"06-May-2021","EQ","291.50","302.00","290.30","291.50","301.05","301.25","297.01","357.00","79.60",45032502,"13,375,217,303.80",253096
"05-May-2021","EQ","293.50","293.90","288.50","289.45","292.25","291.50","291.05","357.00","79.60",29350536,"8,542,557,907.75",172820
"04-May-2021","EQ","296.35","299.75","288.05","293.00","289.95","289.45","293.92","357.00","79.60",38640006,"11,356,882,614.15",215522
"03-May-2021","EQ","289.30","294.75","285.00","293.85","293.10","293.00","290.96","357.00","79.60",35376618,"10,293,317,764.30",217697
"30-Apr-2021","EQ","298.20","301.30","292.55","301.90","293.10","293.85","297.01","357.00","74.80",36121668,"10,728,487,262.65",227806
"29-Apr-2021","EQ","308.90","310.00","301.25","305.90","302.20","301.90","304.77","357.00","74.80",36647292,"11,168,997,900.30",186996
"28-Apr-2021","EQ","303.50","309.50","303.00","301.50","305.15","305.90","307.22","357.00","74.80",44668126,"13,722,777,839.30",264159
"27-Apr-2021","EQ","295.70","302.50","295.10","295.40","302.10","301.50","299.05","357.00","74.80",35040532,"10,478,793,142.15",191627
"26-Apr-2021","EQ","297.00","299.00","294.60","294.00","295.85","295.40","296.48","357.00","74.80",30583139,"9,067,386,454.95",173282
"23-Apr-2021","EQ","291.00","300.00","290.50","294.55","293.20","294.00","295.04","357.00","72.55",58158986,"17,159,078,149.65",301111
"22-Apr-2021","EQ","294.00","302.50","292.20","298.05","294.50","294.55","296.94","357.00","72.55",61022978,"18,120,454,264.15",324395
"20-Apr-2021","EQ","307.70","308.15","294.20","301.40","297.40","298.05","301.99","357.00","72.55",56740291,"17,134,933,991.60",293573
"19-Apr-2021","EQ","295.00","304.50","292.80","310.00","301.70","301.40","299.92","357.00","72.55",65791784,"19,732,092,260.55",368946
"16-Apr-2021","EQ","302.00","315.00","300.15","303.50","308.75","310.00","310.71","357.00","71.00",75330709,"23,406,077,563.15",408104
"15-Apr-2021","EQ","303.00","307.55","296.50","302.85","302.20","303.50","301.87","357.00","71.00",75262749,"22,719,453,457.45",397148
"13-Apr-2021","EQ","287.25","304.55","280.55","286.55","302.00","302.85","293.11","357.00","71.00",116874853,"34,256,650,888.30",571436
"12-Apr-2021","EQ","307.85","307.85","282.90","318.20","287.50","286.55","292.83","357.00","71.00",105342538,"30,847,255,981.55",687082
"09-Apr-2021","EQ","313.20","325.00","312.50","313.95","317.55","318.20","320.77","357.00","65.40",75462572,"24,205,900,606.15",412742
"08-Apr-2021","EQ","307.90","319.80","307.50","307.80","314.00","313.95","315.34","357.00","65.40",62459774,"19,696,335,826.85",329382
"07-Apr-2021","EQ","306.75","310.65","305.10","307.75","307.65","307.80","308.53","357.00","65.40",39073986,"12,055,353,692.30",194930
"06-Apr-2021","EQ","306.15","313.80","304.80","305.05","308.00","307.75","309.29","357.00","65.40",63031783,"19,495,030,379.85",313806
"05-Apr-2021","EQ","306.80","311.70","297.20","307.75","305.50","305.05","304.12","357.00","65.40",66178755,"20,126,169,223.85",346981
"01-Apr-2021","EQ","306.75","309.85","303.05","301.80","307.25","307.75","306.29","357.00","64.80",44088352,"13,503,816,549.80",268091
"31-Mar-2021","EQ","299.00","307.50","297.50","297.05","301.45","301.80","303.68","357.00","64.80",58569012,"17,786,399,693.80",325482
"30-Mar-2021","EQ","300.50","301.30","292.70","296.40","297.05","297.05","296.64","357.00","64.80",45257627,"13,425,325,715.15",267495
"26-Mar-2021","EQ","290.50","301.40","290.50","285.55","296.75","296.40","296.40","357.00","63.50",80924011,"23,985,534,796.25",434783
"25-Mar-2021","EQ","294.00","294.00","282.25","294.45","286.00","285.55","287.04","357.00","63.50",84528317,"24,262,713,318.75",511962
"24-Mar-2021","EQ","303.55","305.00","293.20","307.40","294.75","294.45","299.54","357.00","63.50",61523819,"18,429,097,083.30",394777
"23-Mar-2021","EQ","305.00","312.25","304.00","303.05","306.90","307.40","308.61","357.00","63.50",60240483,"18,590,765,503.80",349957
"22-Mar-2021","EQ","306.45","307.50","300.10","308.95","302.85","303.05","303.74","357.00","63.50",56385019,"17,126,178,093.25",338962
"19-Mar-2021","EQ","303.50","311.00","290.20","307.00","308.20","308.95","302.07","357.00","63.50",109932681,"33,207,043,605.15",562664
"18-Mar-2021","EQ","311.00","316.60","299.75","305.80","308.00","307.00","309.64","357.00","63.50",73731921,"22,830,626,649.15",422219
"17-Mar-2021","EQ","318.60","320.00","304.00","319.95","305.50","305.80","312.19","357.00","63.50",47262481,"14,755,101,722.35",315250
"16-Mar-2021","EQ","321.00","321.90","315.10","318.55","319.00","319.95","318.53","357.00","63.50",39267404,"12,507,925,887.45",228406
"15-Mar-2021","EQ","320.00","320.40","310.05","317.55","318.20","318.55","314.73","357.00","63.50",45083228,"14,188,906,470.40",307122
"12-Mar-2021","EQ","325.05","326.50","314.15","321.45","317.45","317.55","320.29","357.00","63.50",48360842,"15,489,475,023.45",319107
"10-Mar-2021","EQ","319.50","324.45","316.70","315.20","321.75","321.45","321.13","357.00","63.50",58643853,"18,832,196,592.95",332869
"09-Mar-2021","EQ","325.00","328.35","309.60","321.25","315.15","315.20","318.35","357.00","63.50",74702208,"23,781,468,293.10",443980
"08-Mar-2021","EQ","331.75","331.75","318.80","325.15","321.35","321.25","324.40","357.00","63.50",81925952,"26,576,757,573.30",547672
"05-Mar-2021","EQ","333.00","337.85","319.70","339.20","326.45","325.15","329.04","357.00","63.50",86738909,"28,540,486,583.50",511915
"04-Mar-2021","EQ","339.00","345.40","337.30","348.50","340.00","339.20","341.50","357.00","63.50",59863169,"20,443,508,606.45",365276
"03-Mar-2021","EQ","348.65","357.00","346.50","345.75","347.10","348.50","351.70","357.00","63.50",92006451,"32,358,533,060.50",527778
"02-Mar-2021","EQ","331.10","347.20","326.45","328.30","345.25","345.75","339.18","347.20","63.50",127708761,"43,316,483,891.45",728843
"01-Mar-2021","EQ","330.00","331.85","322.70","322.95","327.70","328.30","327.28","341.90","63.50",61190868,"20,026,665,753.85",352381
"26-Feb-2021","EQ","323.00","332.95","318.85","333.15","321.90","322.95","324.69","341.90","63.50",91901339,"29,839,213,809.50",493729
"25-Feb-2021","EQ","325.35","334.70","323.25","321.65","333.60","333.15","328.91","341.90","63.50",64514912,"21,219,567,491.35",352535
"24-Feb-2021","EQ","325.00","330.00","316.50","324.00","321.20","321.65","324.47","341.90","63.50",50821757,"16,489,974,873.85",287089
"23-Feb-2021","EQ","308.50","328.90","308.50","304.50","324.60","324.00","319.80","341.90","63.50",133310157,"42,632,430,245.10",696488
"22-Feb-2021","EQ","312.45","313.90","302.15","311.85","302.60","304.50","308.00","341.90","63.50",57723298,"17,778,579,106.10",341152
"19-Feb-2021","EQ","321.95","321.95","301.40","323.85","312.45","311.85","313.32","341.90","63.50",80274683,"25,151,576,757.90",516227
"18-Feb-2021","EQ","331.50","331.75","321.10","330.15","323.00","323.85","327.39","341.90","63.50",49204247,"16,108,957,682.00",305338
"17-Feb-2021","EQ","326.90","334.25","325.45","329.20","329.70","330.15","329.78","341.90","63.50",52150941,"17,198,462,740.05",288923
"16-Feb-2021","EQ","335.45","337.90","327.50","333.35","329.00","329.20","331.95","341.90","63.50",65943843,"21,890,304,400.55",349911
"15-Feb-2021","EQ","329.90","335.80","324.00","325.40","331.90","333.35","329.83","341.90","63.50",78680452,"25,950,795,655.45",418089
"12-Feb-2021","EQ","326.40","330.50","321.25","325.00","324.55","325.40","326.36","341.90","63.50",64093642,"20,917,450,086.00",344490
"11-Feb-2021","EQ","326.45","331.35","323.40","328.90","324.90","325.00","326.77","341.90","63.50",55257166,"18,056,563,766.25",317814
"10-Feb-2021","EQ","326.00","332.65","319.50","325.05","328.55","328.90","325.62","341.90","63.50",93466949,"30,434,833,762.05",474065
"09-Feb-2021","EQ","337.00","338.50","322.20","335.95","325.85","325.05","328.65","341.90","63.50",105981081,"34,830,328,895.75",596440
"08-Feb-2021","EQ","318.75","339.25","318.00","315.90","336.55","335.95","328.10","341.90","63.50",102123614,"33,506,955,689.95",597813
"05-Feb-2021","EQ","327.60","330.00","312.60","326.15","318.45","315.90","319.24","341.90","63.50",103512235,"33,045,500,229.25",620367
"04-Feb-2021","EQ","329.00","334.50","322.45","331.00","326.10","326.15","328.68","341.90","63.50",121033002,"39,781,597,113.25",693061
"03-Feb-2021","EQ","339.20","341.90","326.20","322.00","331.20","331.00","334.33","341.90","63.50",224190114,"74,954,516,287.10",1057040
"02-Feb-2021","EQ","293.60","328.85","290.40","279.60","326.95","322.00","308.75","328.85","63.50",251965965,"77,794,818,724.65",1201928
"01-Feb-2021","EQ","269.75","282.00","255.35","262.70","280.30","279.60","269.60","306.90","63.50",165655500,"44,660,633,817.45",797774
"29-Jan-2021","EQ","273.00","278.80","260.60","266.80","262.35","262.70","270.74","306.90","63.50",138442348,"37,481,389,731.10",588270
"28-Jan-2021","EQ","260.05","273.40","259.05","267.50","266.00","266.80","266.80","306.90","63.50",129156876,"34,459,498,740.45",543019
"27-Jan-2021","EQ","274.90","275.00","265.70","279.15","266.75","267.50","269.62","306.90","63.50",126586833,"34,130,526,615.40",577227
"25-Jan-2021","EQ","296.90","299.50","277.35","289.35","278.70","279.15","284.75","306.90","63.50",164346913,"46,797,325,645.85",726552
"22-Jan-2021","EQ","295.95","306.90","278.35","290.60","290.85","289.35","296.37","306.90","63.50",316008609,"93,656,707,364.20",1318669
"21-Jan-2021","EQ","281.00","299.00","280.00","274.90","292.45","290.60","291.38","299.00","63.50",283614463,"82,638,647,239.00",1124524
